Date/Time, Speed (cm/sec), Dir (true)
2010-06-09 20:12:00, 12.8, 215
2010-06-09 20:18:00, 28.0, 249
2010-06-09 20:24:00, 31.9, 241
2010-06-09 20:30:00, 40.6, 238
2010-06-09 20:36:00, 47.4, 240
2010-06-09 20:42:00, 43.1, 233
2010-06-09 20:48:00, 50.5, 232
2010-06-09 20:54:00, 55.8, 240
2010-06-09 21:00:00, 56.9, 243
2010-06-09 21:06:00, 61.0, 250
2010-06-09 21:12:00, 73.3, 253
2010-06-09 21:18:00, 79.4, 251
2010-06-09 21:24:00, 85.4, 249
2010-06-09 21:30:00, 84.4, 249
2010-06-09 21:36:00, 84.1, 250
2010-06-09 21:42:00, 74.5, 246
2010-06-09 21:48:00, 81.5, 251
2010-06-09 21:54:00, 77.6, 249
2010-06-09 22:00:00, 77.6, 246
2010-06-09 22:06:00, 78.0, 240
2010-06-09 22:12:00, 71.6, 236
2010-06-09 22:18:00, 70.8, 232
2010-06-09 22:24:00, 63.4, 232
2010-06-09 22:30:00, 68.6, 238
2010-06-09 22:36:00, 62.7, 233
2010-06-09 22:42:00, 67.9, 241
2010-06-09 22:48:00, 71.3, 241
2010-06-09 22:54:00, 61.3, 242
2010-06-09 23:00:00, 75.3, 235
2010-06-09 23:06:00, 68.4, 227
2010-06-09 23:12:00, 59.9, 232
2010-06-09 23:18:00, 60.3, 228
2010-06-09 23:24:00, 62.5, 229
2010-06-09 23:30:00, 53.0, 228
2010-06-09 23:36:00, 59.6, 234
2010-06-09 23:42:00, 60.3, 238
2010-06-09 23:48:00, 64.8, 241
2010-06-09 23:54:00, 56.2, 235
2010-06-10 00:00:00, 51.1, 232
2010-06-10 00:06:00, 56.0, 235
2010-06-10 00:12:00, 48.5, 236
2010-06-10 00:18:00, 48.7, 234
2010-06-10 00:24:00, 44.6, 226
2010-06-10 00:30:00, 40.5, 222
2010-06-10 00:36:00, 41.6, 225
2010-06-10 00:42:00, 36.2, 222
2010-06-10 00:48:00, 34.9, 220
2010-06-10 00:54:00, 30.9, 216
2010-06-10 01:00:00, 32.0, 216
2010-06-10 01:06:00, 33.3, 213
2010-06-10 01:12:00, 33.8, 213
2010-06-10 01:18:00, 28.9, 215
2010-06-10 01:24:00, 27.4, 213
2010-06-10 01:30:00, 24.5, 209
2010-06-10 01:36:00, 23.1, 216
2010-06-10 01:42:00, 17.0, 205
2010-06-10 01:48:00, 13.3, 211
2010-06-10 01:54:00, 15.9, 195
2010-06-10 02:00:00, 14.3, 257
2010-06-10 02:06:00, 4.1, 343
2010-06-10 02:12:00, 9.3, 157
2010-06-10 02:18:00, 8.6, 113
2010-06-10 02:24:00, 12.4, 105
2010-06-10 02:30:00, 13.7, 94
2010-06-10 02:36:00, 21.5, 116
2010-06-10 02:42:00, 22.5, 102
2010-06-10 02:48:00, 29.1, 85
2010-06-10 02:54:00, 32.5, 87
2010-06-10 03:00:00, 38.8, 76
2010-06-10 03:06:00, 44.4, 75
2010-06-10 03:12:00, 50.6, 73
2010-06-10 03:18:00, 58.2, 73
2010-06-10 03:24:00, 63.2, 71
2010-06-10 03:30:00, 66.0, 67
2010-06-10 03:36:00, 67.9, 72
2010-06-10 03:42:00, 72.9, 65
2010-06-10 03:48:00, 68.4, 69
2010-06-10 03:54:00, 66.3, 68
2010-06-10 04:00:00, 66.2, 70
