Date/Time, Speed (cm/sec), Dir (true)
2010-06-09 20:12:00, 35.9, 175
2010-06-09 20:18:00, 31.3, 199
2010-06-09 20:24:00, 34.5, 207
2010-06-09 20:30:00, 35.6, 212
2010-06-09 20:36:00, 40.2, 218
2010-06-09 20:42:00, 42.8, 212
2010-06-09 20:48:00, 44.7, 207
2010-06-09 20:54:00, 54.6, 224
2010-06-09 21:00:00, 53.0, 228
2010-06-09 21:06:00, 53.5, 232
2010-06-09 21:12:00, 60.2, 235
2010-06-09 21:18:00, 62.2, 235
2010-06-09 21:24:00, 63.0, 235
2010-06-09 21:30:00, 66.1, 240
2010-06-09 21:36:00, 66.4, 237
2010-06-09 21:42:00, 77.9, 241
2010-06-09 21:48:00, 93.8, 242
2010-06-09 21:54:00, 96.6, 241
2010-06-09 22:00:00, 99.5, 246
2010-06-09 22:06:00, 98.5, 245
2010-06-09 22:12:00, 98.0, 246
2010-06-09 22:18:00, 109.9, 249
2010-06-09 22:24:00, 101.4, 248
2010-06-09 22:30:00, 103.7, 249
2010-06-09 22:36:00, 98.9, 246
2010-06-09 22:42:00, 93.1, 247
2010-06-09 22:48:00, 97.0, 247
2010-06-09 22:54:00, 90.6, 247
2010-06-09 23:00:00, 106.3, 259
2010-06-09 23:06:00, 109.2, 261
2010-06-09 23:12:00, 105.2, 254
2010-06-09 23:18:00, 98.0, 252
2010-06-09 23:24:00, 83.9, 247
2010-06-09 23:30:00, 75.0, 246
2010-06-09 23:36:00, 84.8, 248
2010-06-09 23:42:00, 92.5, 250
2010-06-09 23:48:00, 98.4, 248
2010-06-09 23:54:00, 96.0, 247
2010-06-10 00:00:00, 90.1, 248
2010-06-10 00:06:00, 98.4, 250
2010-06-10 00:12:00, 96.8, 257
2010-06-10 00:18:00, 85.7, 261
2010-06-10 00:24:00, 81.2, 259
2010-06-10 00:30:00, 74.0, 260
2010-06-10 00:36:00, 66.8, 258
2010-06-10 00:42:00, 62.4, 260
2010-06-10 00:48:00, 63.9, 264
2010-06-10 00:54:00, 59.7, 261
2010-06-10 01:00:00, 48.4, 258
2010-06-10 01:06:00, 49.6, 267
2010-06-10 01:12:00, 54.8, 275
2010-06-10 01:18:00, 46.5, 274
2010-06-10 01:24:00, 47.5, 287
2010-06-10 01:30:00, 35.7, 280
2010-06-10 01:36:00, 33.7, 308
2010-06-10 01:42:00, 29.2, 328
2010-06-10 01:48:00, 32.7, 331
2010-06-10 01:54:00, 29.3, 338
2010-06-10 02:00:00, 29.2, 1
2010-06-10 02:06:00, 29.5, 358
2010-06-10 02:12:00, 42.7, 10
2010-06-10 02:18:00, 42.9, 14
2010-06-10 02:24:00, 46.9, 25
2010-06-10 02:30:00, 46.5, 31
2010-06-10 02:36:00, 50.5, 27
2010-06-10 02:42:00, 50.2, 27
2010-06-10 02:48:00, 56.7, 44
2010-06-10 02:54:00, 56.7, 52
2010-06-10 03:00:00, 56.0, 58
2010-06-10 03:06:00, 64.9, 58
2010-06-10 03:12:00, 62.3, 65
2010-06-10 03:18:00, 62.8, 67
2010-06-10 03:24:00, 63.0, 67
2010-06-10 03:30:00, 67.7, 66
2010-06-10 03:36:00, 70.6, 63
2010-06-10 03:42:00, 76.9, 63
2010-06-10 03:48:00, 80.7, 67
2010-06-10 03:54:00, 83.4, 67
2010-06-10 04:00:00, 81.7, 67
2010-06-10 04:06:00, 86.5, 68
2010-06-10 04:12:00, 84.8, 67
2010-06-10 04:18:00, 84.9, 66
2010-06-10 04:24:00, 79.6, 67
2010-06-10 04:30:00, 82.0, 66
2010-06-10 04:36:00, 84.0, 65
2010-06-10 04:42:00, 87.4, 66
2010-06-10 04:48:00, 93.2, 73
2010-06-10 04:54:00, 94.1, 70
2010-06-10 05:00:00, 90.6, 69
2010-06-10 05:06:00, 95.8, 69
2010-06-10 05:12:00, 93.5, 68
2010-06-10 05:18:00, 93.4, 69
2010-06-10 05:24:00, 90.9, 72
2010-06-10 05:30:00, 92.3, 71
2010-06-10 05:36:00, 89.4, 70
2010-06-10 05:42:00, 88.2, 71
2010-06-10 05:48:00, 90.6, 72
2010-06-10 05:54:00, 89.3, 71
2010-06-10 06:00:00, 86.4, 73
2010-06-10 06:06:00, 86.0, 72
2010-06-10 06:12:00, 83.4, 72
2010-06-10 06:18:00, 82.6, 71
2010-06-10 06:24:00, 87.2, 72
2010-06-10 06:30:00, 92.8, 75
2010-06-10 06:36:00, 97.1, 81
2010-06-10 06:42:00, 93.9, 87
2010-06-10 06:48:00, 95.2, 85
2010-06-10 06:54:00, 89.0, 86
2010-06-10 07:00:00, 84.5, 84
2010-06-10 07:06:00, 81.6, 83
2010-06-10 07:12:00, 77.0, 85
2010-06-10 07:18:00, 67.5, 86
2010-06-10 07:24:00, 61.7, 92
2010-06-10 07:30:00, 58.1, 94
2010-06-10 07:36:00, 46.0, 98
2010-06-10 07:42:00, 41.1, 106
2010-06-10 07:48:00, 35.1, 112
2010-06-10 07:54:00, 21.9, 122
2010-06-10 08:00:00, 18.8, 146
2010-06-10 08:06:00, 23.2, 166
2010-06-10 08:12:00, 21.1, 170
2010-06-10 08:18:00, 24.4, 176
2010-06-10 08:24:00, 25.9, 183
2010-06-10 08:30:00, 28.0, 192
2010-06-10 08:36:00, 30.3, 190
2010-06-10 08:42:00, 32.1, 198
2010-06-10 08:48:00, 37.9, 192
2010-06-10 08:54:00, 39.3, 206
2010-06-10 09:00:00, 46.7, 216
2010-06-10 09:06:00, 52.0, 220
2010-06-10 09:12:00, 59.4, 227
2010-06-10 09:18:00, 59.7, 230
2010-06-10 09:24:00, 56.5, 231
2010-06-10 09:30:00, 66.1, 235
2010-06-10 09:36:00, 72.9, 242
2010-06-10 09:42:00, 79.8, 242
2010-06-10 09:48:00, 80.9, 243
2010-06-10 09:54:00, 79.9, 242
2010-06-10 10:00:00, 86.1, 242
2010-06-10 10:06:00, 93.2, 245
2010-06-10 10:12:00, 88.1, 241
2010-06-10 10:18:00, 89.9, 244
2010-06-10 10:24:00, 96.9, 248
2010-06-10 10:30:00, 97.6, 247
2010-06-10 10:36:00, 98.0, 249
2010-06-10 10:42:00, 95.6, 252
2010-06-10 10:48:00, 87.0, 247
2010-06-10 10:54:00, 94.0, 251
2010-06-10 11:00:00, 87.4, 250
2010-06-10 11:06:00, 81.2, 250
2010-06-10 11:12:00, 83.0, 249
2010-06-10 11:18:00, 77.9, 249
2010-06-10 11:24:00, 85.7, 249
2010-06-10 11:30:00, 88.9, 248
2010-06-10 11:36:00, 92.5, 246
2010-06-10 11:42:00, 95.5, 248
2010-06-10 11:48:00, 105.4, 252
2010-06-10 11:54:00, 103.1, 253
2010-06-10 12:00:00, 92.2, 251
2010-06-10 12:06:00, 80.9, 244
2010-06-10 12:12:00, 71.5, 242
2010-06-10 12:18:00, 69.1, 245
2010-06-10 12:24:00, 69.1, 242
2010-06-10 12:30:00, 61.1, 244
2010-06-10 12:36:00, 56.9, 244
2010-06-10 12:42:00, 60.1, 244
2010-06-10 12:48:00, 58.4, 244
2010-06-10 12:54:00, 63.7, 247
2010-06-10 13:00:00, 61.7, 250
2010-06-10 13:06:00, 59.1, 253
2010-06-10 13:12:00, 61.1, 253
2010-06-10 13:18:00, 60.8, 260
2010-06-10 13:24:00, 52.2, 257
2010-06-10 13:30:00, 45.3, 252
